Pass Yds,Yds/Att,Att_x,Cmp,Cmp %,TD_x,INT,Rate,1st,1st%_x,20+_x,40+_x,Lng_x,Sck,SckY,Rush Yds,Att_y,TD_y,20+_y,40+_y,Lng_y,Rush 1st,Rush 1st%,Rush FUM,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%_y,Rec FUM,Rec YAC/R,Tgts
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,6,2,0,0,0,4,1,50.0,0,31,363,3,5,0,39,20,64.5,0,87,63
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,34,0,1,0,34,1,100.0,0,30,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-3,0,0,0,-3,1,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,17,217,4,3,0,36,13,76.5,0,72,46
82,3.3,25,11,44.0,0,2,19.1,3,12.0,0,0,16,1,3,44,3,0,1,0,34,2,66.7,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,61,710,6,4,0,31,39,63.9,0,175,90
1458,6.4,226,148,65.5,10,7,85.4,71,31.4,16,1,40,21,159,286,33,1,2,0,26,15,45.4,1,0,0,0,0,0,0,0,0.0,0,0,0
9,1.0,9,4,44.4,0,0,51.6,0,0.0,0,0,5,1,6,13,1,0,0,0,13,1,100.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,-4,1,0,0,0,-4,0,0.0,0,9,51,1,0,0,12,3,33.3,1,33,11
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6,32,0,0,0,8,1,16.7,0,12,11
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,14,1,0,0,0,14,1,100.0,0,16,171,1,4,1,41,8,50.0,0,108,22
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,15,121,2,1,0,23,7,46.7,0,65,17
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,42,336,1,2,0,30,14,33.3,0,87,63
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,312,66,1,0,0,19,16,24.2,0,9,46,1,1,0,30,3,33.3,0,86,12
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,211,21,1,2,2,53,7,33.3,0,11,86,0,1,0,24,3,27.3,0,71,14
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,25,13,0,0,0,6,1,7.7,1,8,76,0,0,0,19,3,37.5,0,99,9
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5,74,0,1,0,20,4,80.0,0,11,7
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,9,0,0,0,7,0,0.0,0,12,4
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,20,158,0,1,0,28,8,40.0,0,87,22
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,2
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,36,291,1,2,0,24,14,38.9,1,114,49
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,185,58,2,0,0,11,9,15.5,1,10,56,0,0,0,15,2,20.0,0,84,13
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,15,217,3,4,1,41,11,73.3,0,63,21
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,20,239,2,6,0,22,13,65.0,1,39,42
2013,6.6,306,203,66.3,9,10,81.0,106,34.6,22,2,57,29,164,58,19,0,0,0,11,5,26.3,2,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,5,1,0,0,0,5,1,100.0,0,69,722,5,11,0,35,40,58.0,1,282,108
3035,7.5,405,280,69.1,12,12,88.4,149,36.8,33,4,71,37,241,224,43,2,3,0,34,14,32.6,3,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,7,0,0,0,7,0,0.0,0,5,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,49,642,8,11,2,43,31,63.3,0,258,59
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,-6,2,0,0,0,4,0,0.0,0,52,776,2,14,3,44,32,61.5,1,157,84
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,7,30,0,0,0,17,1,14.3,0,37,11
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,17,216,0,4,0,34,12,70.6,0,116,20
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,13,0,0,0,13,1,100.0,0,0,3
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,4,1,0,0,0,4,0,0.0,0,23,192,1,0,0,16,10,43.5,1,137,35
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5,28,0,0,0,9,0,0.0,0,15,12
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,206,63,1,0,0,11,9,14.3,0,1,2,0,0,0,2,0,0.0,0,4,2
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,9,86,0,0,0,18,5,55.6,0,71,12
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,26,13,1,0,0,5,6,46.2,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,7,65,0,1,0,27,1,14.3,0,17,12
62,6.9,9,6,66.7,0,0,86.3,3,33.3,1,0,21,1,9,2,5,0,0,0,3,1,20.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,51,535,1,4,0,35,30,58.8,0,212,74
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5,43,0,0,0,18,1,20.0,0,20,5
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,19,6,0,0,0,6,4,66.7,0,10,105,0,1,0,24,5,50.0,0,81,12
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,7,0,0,0,3,1,33.3,0,6,6
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,227,38,1,1,1,76,8,21.0,0,4,22,0,0,0,12,2,50.0,1,20,5
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,18,4,0,0,0,12,2,50.0,0,1,10,0,0,0,10,1,100.0,0,7,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,12,0,0,0,7,0,0.0,0,1,2
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,28,346,3,4,2,49,18,64.3,1,213,39
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,6,0,0,0,4,0,0.0,0,7,3
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,135,34,1,0,0,11,6,17.6,0,7,54,0,1,0,23,3,42.9,0,82,8
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,44,10,0,0,0,9,1,10.0,0,2,0,0,0,0,2,0,0.0,0,1,3
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,766,158,8,6,3,61,39,24.7,0,28,134,0,0,0,15,6,21.4,0,175,34
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,12,87,2,1,0,21,4,33.3,0,13,30
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,11,1,0,0,0,11,1,100.0,0,73,1056,12,13,6,70,47,64.4,0,481,100
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,29,302,1,5,1,46,11,37.9,1,169,35
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,69,20,0,0,0,15,4,20.0,0,10,59,1,0,0,16,2,20.0,0,72,12
17,17.0,1,1,100.0,0,0,118.8,1,100.0,0,0,17,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,10,0,0,0,6,0,0.0,0,2,3
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,50,0,1,1,41,1,50.0,0,16,3
828,5.2,159,94,59.1,2,1,74.6,41,25.8,7,1,50,18,119,62,15,0,0,0,16,5,33.3,1,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,6,0,0,0,6,1,100.0,0,9,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,13,1,0,0,0,13,1,100.0,0,10,110,0,2,0,36,6,60.0,0,47,18
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,1,0,0.0,0,3,2
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,886,154,10,7,2,70,41,26.6,0,26,265,1,4,1,54,13,50.0,0,335,32
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,10,89,0,0,0,15,5,50.0,0,24,14
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,0,0,0,2,1,0.0,1,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,-1,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,43,369,0,4,0,27,15,34.9,3,229,58
177,6.1,29,14,48.3,1,0,79.2,8,27.6,2,0,36,2,16,16,9,0,0,0,9,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,23,2,0,1,0,20,1,50.0,0,53,579,2,6,0,33,32,60.4,0,170,75
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,283,66,1,1,0,21,14,21.2,0,16,47,2,0,0,11,3,18.8,1,105,18
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,9,148,0,2,1,41,6,66.7,0,35,27
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,17,263,1,4,0,31,14,82.4,0,89,26
2376,8.3,285,197,69.1,13,5,102.3,109,38.2,36,10,67,29,220,456,115,11,4,0,24,48,41.7,2,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,28,2,0,0,0,17,2,100.0,0,11,120,1,2,0,32,7,63.6,0,37,24
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,-4,3,0,0,0,3,1,33.3,0,17,252,5,5,0,33,14,82.4,0,62,28
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,-3,3,0,0,0,1,0,0.0,0,6,96,0,2,1,41,3,50.0,1,25,11
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,37,410,4,4,1,48,20,54.0,0,81,57
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5,45,0,0,0,19,2,40.0,0,1,12
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,124,32,1,0,0,14,8,25.0,0,4,21,0,0,0,13,1,25.0,0,27,6
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,11,0,0,0,11,1,100.0,0,8,1
1266,7.4,172,107,62.2,7,4,88.5,60,34.9,15,1,89,13,55,46,16,1,0,0,13,12,75.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,705,166,5,3,0,22,46,27.7,1,29,288,0,3,1,44,10,34.5,2,335,35
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,596,137,10,2,1,49,33,24.1,0,25,182,1,2,0,25,9,36.0,0,191,31
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,3,0,0,0,3,0,0.0,0,4,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,38,6,0,0,0,15,3,50.0,0,29,602,4,12,4,70,23,79.3,0,296,48
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,5,0,0,0,5,0,0.0,0,8,1
2761,9.0,306,223,72.9,20,9,109.9,134,43.8,41,8,70,21,163,39,24,0,0,0,8,6,25.0,0,1,7,1,0,0,7,1,100.0,0,2,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,7,0,0,0,7,0,0.0,0,3,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,-2,2,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,32,13,0,0,0,8,2,15.4,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,47,628,4,10,1,45,31,66.0,0,128,65
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,445,120,3,1,0,20,25,20.8,2,37,256,0,2,0,34,10,27.0,0,280,48
35,35.0,1,1,100.0,0,0,118.8,1,100.0,1,0,35,0,0,8,1,0,0,0,8,1,100.0,0,66,755,4,8,2,46,37,56.1,1,338,93
2613,7.9,332,227,68.4,12,5,97.6,120,36.1,35,8,86,27,139,556,99,5,4,1,46,34,34.3,2,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,105,12,1,2,0,33,5,41.7,0,41,669,4,12,5,70,22,53.7,0,307,52
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,6,3,0,0,0,4,0,0.0,0,41,548,2,10,1,63,27,65.8,0,175,56
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,303,75,1,0,0,18,17,22.7,1,21,142,0,1,0,26,6,28.6,0,150,25
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,243,59,0,1,0,20,10,17.0,1,1,2,0,0,0,2,0,0.0,0,0,3
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,40,8,0,0,0,14,1,12.5,0,2,12,0,0,0,6,0,0.0,0,13,2
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,217,44,4,2,0,28,12,27.3,0,2,7,0,0,0,6,0,0.0,0,9,3
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,13,73,0,0,0,12,5,38.5,0,63,18
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,107,0,2,2,47,4,100.0,0,22,14
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,-1,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,298,61,1,2,0,36,17,27.9,0,26,126,0,1,0,24,4,15.4,0,186,31
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,45,645,2,7,1,89,31,68.9,0,153,78
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,-5,1,0,0,0,-5,0,0.0,0,1,8,0,0,0,8,1,100.0,0,2,3
3028,7.4,408,274,67.2,27,4,106.9,155,38.0,33,10,70,26,138,151,31,1,1,1,47,13,41.9,2,0,0,0,0,0,0,0,0.0,0,0,0
1167,6.9,170,113,66.5,9,5,91.5,60,35.3,15,2,65,13,101,25,8,0,1,0,21,2,25.0,1,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,1,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0,786,185,10,6,2,59,37,20.0,0,23,226,1,4,0,37,10,43.5,0,262,34
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6,64,0,1,0,20,1,16.7,1,38,9
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,2,0,0,0,2,0,0.0,0,0,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,13,149,1,2,0,28,8,61.5,0,56,19
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,6,0,0,0,6,1,100.0,0,2,2
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,7,0,0,0,7,0,0.0,0,3,1
0,0.0,2,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,16,113,1,1,0,20,5,31.2,0,57,23
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,14,1,0,0,9,2,100.0,0,6,8
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,5,2,0,0,0,3,0,0.0,1,13,129,0,2,0,35,4,30.8,0,64,32
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,708,161,5,7,1,58,34,21.1,0,13,111,0,1,0,25,6,46.2,1,130,22
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,22,5,0,0,0,7,1,20.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,7,2,0,0,0,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,-1,2,0,0,0,0,0,0.0,0,48,535,4,2,1,57,33,68.8,0,307,63
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,20,3,1,0,0,9,1,33.3,0,32,521,4,9,4,69,22,68.8,0,117,50
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,23,229,1,2,0,21,12,52.2,1,84,34
2244,8.0,280,173,61.8,18,11,92.0,100,35.7,32,9,70,10,70,48,18,1,0,0,13,7,38.9,3,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,711,140,3,8,0,38,32,22.9,3,11,91,0,1,0,24,6,54.6,0,53,14
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,42,14,0,0,0,9,1,7.1,0,4,42,0,1,0,25,2,50.0,0,44,7
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,18,201,0,2,0,31,10,55.6,0,103,23
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,5,0,0,0,5,1,100.0,0,2,3
2543,7.5,339,217,64.0,18,5,98.2,117,34.5,38,7,63,13,61,316,67,5,2,0,26,30,44.8,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,12,1,0,0,0,13,1,100.0,0,53,594,4,7,1,69,31,58.5,0,246,78
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,944,202,7,6,0,38,47,23.3,2,23,186,1,3,0,23,9,39.1,0,224,30
1,1.0,1,1,100.0,0,0,79.2,0,0.0,0,0,1,0,0,2,3,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,19,216,3,4,0,28,12,63.2,0,97,22
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,23,403,1,8,1,45,19,82.6,0,72,40
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,12,183,1,4,1,49,8,66.7,0,35,19
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,15,148,0,2,0,33,10,66.7,0,89,19
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,10,0,0,0,8,0,0.0,0,10,2
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,11,161,1,2,1,50,6,54.6,0,112,15
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,4,0,0,0,4,0,0.0,0,0,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,10,81,0,0,0,17,4,40.0,1,47,16
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,74,17,0,0,0,12,1,5.9,0,2,11,0,0,0,9,0,0.0,0,14,2
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,185,40,1,1,1,51,12,30.0,0,33,307,2,2,0,24,14,42.4,0,336,39
1106,6.9,161,106,65.8,5,1,93.3,45,28.0,15,2,55,16,124,274,60,5,1,0,30,18,30.0,4,0,0,0,0,0,0,0,0.0,0,0,0
2404,7.7,313,197,62.9,13,1,99.0,106,33.9,35,4,66,27,148,211,45,2,3,0,38,12,26.7,2,0,0,0,0,0,0,0,0.0,0,0,0
22,22.0,1,1,100.0,0,0,118.8,1,100.0,1,0,22,0,0,3,1,0,0,0,3,0,0.0,0,61,939,5,18,3,97,41,67.2,1,258,91
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,18,218,0,1,0,25,10,55.6,0,59,22
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,25,277,2,4,0,27,13,52.0,0,99,32
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,7,57,1,1,0,22,2,28.6,0,16,18
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,14,5,0,0,0,11,1,20.0,1,21,275,2,4,1,64,12,57.1,1,145,32
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,-7,1,0,0,0,-7,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,2,0,0,0,12,1,50.0,0,16,204,2,3,0,38,9,56.2,0,131,21
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,577,155,5,0,0,17,31,20.0,0,17,135,0,1,0,26,8,47.1,0,158,22
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,22,289,1,5,1,40,14,63.6,0,43,38
